date,Con (to 2024 election),Con (to 2024 election) (low),Con (to 2024 election) (high),Con (post-2024 election),Con (post-2024 election) (low),Con (post-2024 election) (high),Lab (to 2024 election),Lab (to 2024 election) (low),Lab (to 2024 election) (high),Lab (post-2024 election),Lab (post-2024 election) (low),Lab (post-2024 election) (high),LDem (to 2024 election),LDem (to 2024 election) (low),LDem (to 2024 election) (high),LDem (post-2024 election),LDem (post-2024 election) (low),LDem (post-2024 election) (high),Grn (to 2024 election),Grn (to 2024 election) (low),Grn (to 2024 election) (high),Grn (post-2024 election),Grn (post-2024 election) (low),Grn (post-2024 election) (high),SNP (to 2024 election),SNP (to 2024 election) (low),SNP (to 2024 election) (high),SNP (post-2024 election),SNP (post-2024 election) (low),SNP (post-2024 election) (high),PC (to 2024 election),PC (to 2024 election) (low),PC (to 2024 election) (high),PC (post-2024 election),PC (post-2024 election) (low),PC (post-2024 election) (high),Reform (to 2024 election),Reform (to 2024 election) (low),Reform (to 2024 election) (high),Reform (post-2024 election),Reform (post-2024 election) (low),Reform (post-2024 election) (high),Con (poll),Lab (poll),LDem (poll),Grn (poll),SNP (poll),PC (poll),Reform (poll)
2020-01-26,55.16,49.9,62.08,,,,23.88,18.49,28.98,,,,8.91,3.75,14.17,,,,4.36,-0.48,10.01,,,,4.12,-0.84,9.05,,,,1.0,-4.89,5.47,,,,2.86,-1.69,7.79,,,,51.0,27.0,11.0,3.0,5.0,1.0,3.0
2020-01-27,55.19,49.98,62.1,,,,23.87,18.54,28.89,,,,8.9,3.73,14.08,,,,4.36,-0.43,9.99,,,,4.13,-0.8,9.01,,,,1.0,-4.89,5.46,,,,2.85,-1.65,7.73,,,,,,,,,,
2020-01-28,55.21,50.07,62.12,,,,23.86,18.59,28.8,,,,8.88,3.73,13.96,,,,4.36,-0.42,9.97,,,,4.14,-0.75,8.95,,,,1.0,-4.88,5.44,,,,2.83,-1.61,7.64,,,,,,,,,,
2020-01-29,55.24,50.1,62.15,,,,23.85,18.64,28.74,,,,8.86,3.71,13.82,,,,4.37,-0.41,9.95,,,,4.15,-0.7,8.88,,,,1.0,-4.87,5.42,,,,2.82,-1.56,7.54,,,,,,,,,,
2020-01-30,55.27,50.17,62.18,,,,23.84,18.7,28.67,,,,8.85,3.7,13.67,,,,4.37,-0.37,9.91,,,,4.16,-0.68,8.89,,,,1.0,-4.87,5.4,,,,2.8,-1.5,7.45,,,,,,,,,,
2020-01-31,55.3,50.24,62.2,,,,23.83,18.81,28.6,,,,8.82,3.68,13.61,,,,4.37,-0.34,9.86,,,,4.16,-0.67,8.86,,,,1.0,-4.85,5.38,,,,2.78,-1.45,7.4,,,,,,,,,,
2020-02-01,55.33,50.32,62.23,,,,23.82,18.99,28.55,,,,8.8,3.74,13.53,,,,4.37,-0.29,9.84,,,,4.17,-0.66,8.83,,,,1.0,-4.85,5.36,,,,2.76,-1.43,7.34,,,,,,,,,,
2020-02-02,55.37,50.41,62.27,,,,23.81,19.16,28.49,,,,8.78,3.87,13.48,,,,4.37,-0.25,9.82,,,,4.18,-0.65,8.79,,,,1.0,-4.83,5.33,,,,2.75,-1.41,7.21,,,,61.0,23.0,6.0,3.0,2.0,1.0,3.0
2020-02-03,55.41,50.55,62.31,,,,23.81,19.3,28.44,,,,8.75,3.84,13.4,,,,4.36,-0.2,9.77,,,,4.19,-0.64,8.72,,,,1.0,-4.82,5.31,,,,2.72,-1.38,7.08,,,,,,,,,,
2020-02-04,55.45,50.63,62.34,,,,23.8,19.34,28.44,,,,8.72,3.83,13.38,,,,4.36,-0.15,9.71,,,,4.19,-0.62,8.64,,,,1.0,-4.82,5.29,,,,2.7,-1.36,6.93,,,,,,,,,,
2020-02-05,55.49,50.68,62.37,,,,23.8,19.37,28.44,,,,8.69,3.81,13.29,,,,4.36,-0.12,9.62,,,,4.2,-0.6,8.56,,,,1.0,-4.81,5.19,,,,2.68,-1.33,6.77,,,,,,,,,,
2020-02-06,55.54,50.74,62.39,,,,23.8,19.44,28.63,,,,8.66,3.8,13.26,,,,4.35,-0.05,9.46,,,,4.2,-0.59,8.58,,,,1.0,-4.93,5.19,,,,2.66,-1.36,6.74,,,,,,,,,,
2020-02-07,55.59,50.8,62.33,,,,23.8,19.51,28.58,,,,8.62,3.79,13.08,,,,4.35,0.03,9.29,,,,4.21,-0.53,8.5,,,,1.0,-4.9,5.18,,,,2.64,-1.36,6.64,,,,,,,,,,
2020-02-08,55.63,50.88,62.26,,,,23.8,19.56,28.49,,,,8.59,3.78,12.85,,,,4.34,0.1,9.12,,,,4.21,-0.43,8.44,,,,1.0,-4.85,5.16,,,,2.62,-1.32,6.54,,,,,,,,,,
2020-02-09,55.68,50.96,62.15,,,,23.8,19.59,28.4,,,,8.56,3.81,12.77,,,,4.34,0.16,8.95,,,,4.22,-0.26,8.36,,,,1.0,-4.81,5.14,,,,2.59,-1.33,6.43,,,,,,,,,,
2020-02-10,55.73,51.03,62.01,,,,23.81,19.63,28.37,,,,8.52,3.89,12.73,,,,4.33,0.23,8.81,,,,4.22,-0.24,8.34,,,,1.0,-4.75,5.12,,,,2.57,-1.18,6.33,,,,53.0,22.0,10.0,7.0,5.0,1.0,3.0
2020-02-11,55.78,51.11,61.87,,,,23.81,19.67,28.34,,,,8.48,3.93,12.65,,,,4.32,0.3,8.79,,,,4.22,-0.11,8.31,,,,1.0,-4.66,5.09,,,,2.55,-1.08,6.3,,,,,,,,,,
2020-02-12,55.82,51.16,61.72,,,,23.82,19.72,28.35,,,,8.45,3.92,12.56,,,,4.32,0.32,8.77,,,,4.23,-0.06,8.28,,,,1.0,-4.55,5.07,,,,2.53,-1.04,6.26,,,,,,,,,,
2020-02-13,55.87,51.21,61.59,,,,23.83,19.78,28.34,,,,8.41,3.96,12.48,,,,4.31,0.36,8.74,,,,4.23,0.02,8.25,,,,1.0,-4.44,5.05,,,,2.51,-1.0,6.18,,,,,,,,,,
2020-02-14,55.91,51.27,61.54,,,,23.84,19.82,28.34,,,,8.37,3.94,12.43,,,,4.31,0.42,8.72,,,,4.23,0.06,8.25,,,,1.0,-4.33,5.03,,,,2.49,-0.96,6.14,,,,,,,,,,
2020-02-15,55.96,51.33,61.46,,,,23.85,19.94,28.34,,,,8.33,3.93,12.4,,,,4.3,0.45,8.65,,,,4.23,0.07,8.26,,,,1.0,-4.21,5.0,,,,2.47,-0.94,6.13,,,,,,,,,,
2020-02-16,56.0,51.39,61.34,,,,23.86,19.97,28.32,,,,8.29,3.92,12.36,,,,4.29,0.57,8.48,,,,4.23,0.08,8.26,,,,1.0,-4.1,5.0,,,,2.46,-0.93,6.12,,,,,,,,,,
2020-02-17,56.04,51.45,61.28,,,,23.87,20.0,28.25,,,,8.25,3.86,12.31,,,,4.29,0.63,8.45,,,,4.23,0.13,8.27,,,,1.0,-3.98,4.99,,,,2.44,-0.91,6.1,,,,,,,,,,
2020-02-18,56.08,51.57,61.33,,,,23.89,20.04,28.15,,,,8.21,3.83,12.25,,,,4.28,0.67,8.38,,,,4.23,0.2,8.26,,,,1.0,-3.87,4.97,,,,2.43,-0.9,6.05,,,,,,,,,,
2020-02-19,56.12,51.59,61.36,,,,23.9,20.02,28.29,,,,8.18,3.88,12.15,,,,4.28,0.67,8.25,,,,4.23,0.24,8.2,,,,1.0,-3.8,4.93,,,,2.41,-0.91,5.99,,,,,,,,,,
2020-02-20,56.16,51.65,61.4,,,,23.92,20.05,28.28,,,,8.14,3.94,12.1,,,,4.27,0.65,8.23,,,,4.23,0.31,8.15,,,,1.0,-3.83,4.9,,,,2.4,-0.89,5.94,,,,,,,,,,
2020-02-21,56.19,51.7,61.38,,,,23.93,20.09,28.27,,,,8.1,3.95,12.03,,,,4.27,0.65,8.21,,,,4.23,0.24,8.17,,,,1.0,-3.77,4.88,,,,2.39,-0.88,5.94,,,,,,,,,,
2020-02-22,56.23,51.76,61.35,,,,23.95,20.14,28.26,,,,8.06,3.98,11.97,,,,4.26,0.68,8.19,,,,4.23,0.24,8.2,,,,1.0,-3.77,4.86,,,,2.38,-0.88,5.89,,,,,,,,,,
2020-02-23,56.26,51.81,61.32,,,,23.97,20.19,28.25,,,,8.02,3.97,11.89,,,,4.26,0.68,8.19,,,,4.23,0.24,8.22,,,,1.0,-3.76,4.83,,,,2.37,-0.86,5.83,,,,,,,,,,
2020-02-24,56.29,51.86,61.28,,,,23.99,20.24,28.23,,,,7.98,3.97,11.84,,,,4.25,0.66,8.19,,,,4.23,0.25,8.24,,,,1.0,-3.75,4.79,,,,2.36,-0.85,5.79,,,,,,,,,,
2020-02-25,56.32,51.9,61.22,,,,24.01,20.3,28.22,,,,7.95,3.97,11.77,,,,4.25,0.66,8.18,,,,4.23,0.38,8.25,,,,1.0,-3.73,4.66,,,,2.36,-0.88,5.78,,,,,,,,,,
2020-02-26,56.35,51.95,61.03,,,,24.03,20.33,28.21,,,,7.91,3.99,11.69,,,,4.24,0.67,8.1,,,,4.23,0.41,8.2,,,,1.0,-3.71,4.65,,,,2.35,-0.91,5.73,,,,,,,,,,
