date,Con,Con (low),Con (high),Lab,Lab (low),Lab (high),LDem,LDem (low),LDem (high),Grn,Grn (low),Grn (high),SNP,SNP (low),SNP (high),Reform,Reform (low),Reform (high),Con (poll),Lab (poll),LDem (poll),Grn (poll),SNP (poll),Reform (poll)
2019-12-12,25.42,25.0,28.0,17.79,11.0,19.0,9.27,6.0,10.0,1.19,1.0,2.0,45.95,45.0,50.0,1.0,1.0,1.0,25.0,19.0,10.0,1.0,45.0,1.0
2019-12-13,25.48,25.0,28.0,17.6,11.01,19.0,9.17,6.0,10.0,1.22,1.0,2.01,46.09,45.0,50.0,1.0,1.0,1.0,,,,,,
2019-12-14,25.55,25.0,27.98,17.41,11.06,18.99,9.07,6.0,9.99,1.25,1.01,2.04,46.23,45.0,50.0,1.0,1.0,1.0,,,,,,
2019-12-15,25.62,25.01,27.94,17.21,11.15,18.98,8.97,6.01,9.97,1.28,1.03,2.09,46.37,45.0,50.0,1.0,1.0,1.0,,,,,,
2019-12-16,25.69,25.01,27.89,17.02,11.27,18.96,8.87,6.02,9.94,1.32,1.05,2.16,46.5,45.0,50.0,1.0,1.0,1.0,,,,,,
2019-12-17,25.75,25.02,27.84,16.83,11.4,18.93,8.77,6.03,9.9,1.36,1.07,2.24,46.63,45.0,50.0,1.0,1.0,1.0,,,,,,
2019-12-18,25.82,25.04,27.79,16.65,11.54,18.88,8.67,6.05,9.87,1.4,1.08,2.32,46.75,45.0,50.0,1.0,1.0,1.0,,,,,,
2019-12-19,25.88,25.06,27.73,16.47,11.67,18.82,8.57,6.06,9.83,1.45,1.12,2.4,46.86,45.0,50.0,1.0,1.0,1.0,,,,,,
2019-12-20,25.94,25.08,27.68,16.31,11.8,18.75,8.48,6.08,9.77,1.49,1.16,2.48,46.97,45.0,50.0,1.0,1.0,1.0,,,,,,
2019-12-21,26.0,25.11,27.63,16.15,11.93,18.68,8.4,6.1,9.73,1.54,1.2,2.56,47.06,45.0,50.0,1.0,1.0,1.0,,,,,,
2019-12-22,26.05,25.14,27.58,16.0,12.04,18.58,8.31,6.11,9.69,1.59,1.21,2.63,47.15,45.0,50.0,1.0,1.0,1.0,,,,,,
