date,Positive,Positive (low),Positive (high),Negative,Negative (low),Negative (high),Positive (poll),Negative (poll)
2025-02-07,20.54,19.0,23.0,22.23,21.0,23.0,19.0,23.0
2025-02-08,20.57,19.0,23.0,22.21,21.0,23.0,,
2025-02-09,20.6,19.0,23.0,22.2,21.0,23.0,,
2025-02-10,20.63,19.0,23.0,22.18,21.0,23.0,,
2025-02-11,20.66,19.0,23.0,22.17,21.0,23.0,,
2025-02-12,20.69,19.0,23.0,22.15,21.0,23.0,,
2025-02-13,20.72,19.0,23.0,22.14,21.0,23.0,,
2025-02-14,20.74,18.99,22.99,22.13,21.01,23.01,,
2025-02-15,20.76,18.98,22.99,22.13,21.01,23.03,,
2025-02-16,20.77,18.97,22.98,22.12,21.02,23.05,,
2025-02-17,20.78,16.0,23.0,22.13,21.0,28.0,,
2025-02-18,20.79,16.06,22.98,22.13,21.02,27.96,,
2025-02-19,20.8,16.31,22.97,22.14,21.03,27.82,,
2025-02-20,20.79,16.66,22.95,22.16,21.05,27.62,,
2025-02-21,20.79,17.0,22.93,22.18,21.09,27.43,,
2025-02-22,20.78,17.3,22.9,22.21,21.13,27.26,,
2025-02-23,20.76,17.54,22.85,22.25,21.18,27.12,,
2025-02-24,20.74,17.73,22.8,22.3,21.25,27.01,,
2025-02-25,20.72,17.89,22.74,22.35,21.32,26.92,,
2025-02-26,20.69,18.01,22.67,22.41,21.41,26.84,,
2025-02-27,20.65,18.12,22.59,22.48,21.49,26.79,,
2025-02-28,20.62,18.13,22.51,22.55,21.56,26.74,,
2025-03-01,20.58,18.1,22.43,22.63,21.63,26.69,,
2025-03-02,20.54,18.1,22.34,22.71,21.66,26.66,,
2025-03-03,20.5,18.05,22.26,22.8,21.72,26.63,,
2025-03-04,20.45,17.99,22.2,22.88,21.76,26.6,,
2025-03-05,20.41,17.93,22.17,22.97,21.79,26.58,,
2025-03-06,20.37,17.88,22.1,23.06,21.82,26.56,,
2025-03-07,20.32,17.86,22.02,23.15,21.84,26.54,,
2025-03-08,20.28,17.86,21.94,23.24,21.86,26.53,,
2025-03-09,20.23,17.85,21.88,23.33,21.88,26.51,,
2025-03-10,20.19,17.84,21.84,23.42,21.9,26.5,,
2025-03-11,20.15,17.83,21.81,23.5,21.96,26.49,,
2025-03-12,20.11,17.82,21.78,23.59,22.04,26.48,,
2025-03-13,20.07,17.81,21.73,23.67,22.09,26.47,,
2025-03-14,20.03,17.79,21.69,23.75,22.1,26.46,,
2025-03-15,20.0,17.78,21.67,23.83,22.13,26.45,,
2025-03-16,19.96,17.76,21.67,23.91,22.16,26.44,,
2025-03-17,19.93,17.77,21.67,23.98,22.17,26.45,,
2025-03-18,19.9,17.78,21.66,24.05,22.18,26.48,,
2025-03-19,19.87,17.8,21.66,24.12,22.2,26.54,,
2025-03-20,19.84,17.79,21.66,24.19,22.21,26.56,,
2025-03-21,19.81,17.78,21.64,24.25,22.24,26.57,23.0,21.0
2025-03-22,19.79,17.77,21.61,24.31,22.26,26.59,,
2025-03-23,19.76,17.76,21.59,24.37,22.28,26.61,,
2025-03-24,19.74,17.74,21.57,24.43,22.3,26.63,,
2025-03-25,19.72,17.65,21.62,24.48,22.24,26.71,,
2025-03-26,19.7,17.63,21.65,24.53,22.28,26.73,,
2025-03-27,19.68,17.62,21.65,24.58,22.3,26.75,,
2025-03-28,19.66,17.61,21.63,24.63,22.32,26.74,,
2025-03-29,19.65,17.61,21.6,24.68,22.34,26.74,,
2025-03-30,19.63,17.62,21.59,24.72,22.37,26.73,,
2025-03-31,19.62,17.62,21.59,24.76,22.39,26.72,,
2025-04-01,19.6,17.62,21.6,24.8,22.41,26.71,,
2025-04-02,19.59,17.61,21.63,24.84,22.43,26.7,,
2025-04-03,19.58,17.55,21.63,24.88,22.46,26.69,,
2025-04-04,19.57,17.54,21.64,24.91,22.48,26.71,,
2025-04-05,19.56,17.53,21.66,24.94,22.5,26.73,,
2025-04-06,19.55,17.52,21.68,24.98,22.54,26.74,,
2025-04-07,19.54,17.52,21.7,25.0,22.57,26.76,,
2025-04-08,19.53,17.52,21.75,25.03,22.59,26.77,,
2025-04-09,19.52,17.53,21.77,25.06,22.6,26.79,,
2025-04-10,19.51,17.53,21.77,25.09,22.62,26.8,,
2025-04-11,19.5,17.54,21.78,25.11,22.63,26.8,,
2025-04-12,19.49,17.53,21.8,25.13,22.65,26.8,,
2025-04-13,19.48,17.52,21.79,25.15,22.67,26.82,,
2025-04-14,19.47,17.52,21.76,25.17,22.69,26.86,,
2025-04-15,19.47,17.51,21.74,25.19,22.7,26.88,,
2025-04-16,19.46,17.52,21.71,25.21,22.72,26.9,,
2025-04-17,19.45,17.52,21.68,25.23,22.75,26.92,,
2025-04-18,19.44,17.53,21.67,25.24,22.77,26.94,,
2025-04-19,19.43,17.56,21.67,25.26,22.79,26.96,,
2025-04-20,19.42,17.58,21.65,25.27,22.81,26.97,,
2025-04-21,19.41,17.59,21.59,25.29,22.84,26.95,,
2025-04-22,19.4,17.61,21.54,25.3,22.87,26.9,,
2025-04-23,19.39,17.63,21.48,25.32,22.89,26.85,,
2025-04-24,19.38,17.64,21.43,25.33,22.92,26.82,,
2025-04-25,19.36,17.64,21.38,25.34,22.95,26.81,,
2025-04-26,19.35,17.65,21.32,25.35,22.99,26.81,,
2025-04-27,19.34,17.67,21.29,25.37,23.02,26.8,,
2025-04-28,19.33,17.68,21.27,25.38,23.07,26.81,,
2025-04-29,19.32,17.71,21.27,25.4,23.12,26.75,,
2025-04-30,19.31,17.74,21.25,25.43,23.19,26.79,,
2025-05-01,19.3,17.77,21.24,25.46,23.28,26.79,,
2025-05-02,19.29,17.78,21.25,25.49,23.39,26.78,16.0,28.0
2025-05-03,19.29,17.81,21.27,25.52,23.51,26.77,,
2025-05-04,19.28,17.82,21.3,25.57,23.58,26.81,,
2025-05-05,19.28,17.83,21.33,25.61,23.62,26.93,,
2025-05-06,19.28,17.86,21.28,25.67,23.66,27.02,,
2025-05-07,19.28,17.88,21.23,25.72,23.72,27.04,,
2025-05-08,19.29,17.9,21.17,25.78,23.9,27.04,19.5,26.0
2025-05-09,19.3,17.91,21.19,25.85,23.99,27.21,,
2025-05-10,19.31,17.94,21.23,25.92,24.11,27.32,,
2025-05-11,19.32,17.99,21.3,25.99,24.16,27.47,,
2025-05-12,19.33,17.96,21.36,26.07,24.2,27.68,,
2025-05-13,19.35,17.97,21.42,26.15,24.27,27.88,,
2025-05-14,19.37,18.01,21.53,26.24,24.33,28.01,,
2025-05-15,19.39,18.0,21.6,26.33,24.35,28.2,,
2025-05-16,19.41,17.97,21.61,26.41,24.39,28.45,,
2025-05-17,19.43,17.95,21.64,26.51,24.44,28.69,,
2025-05-18,19.46,17.96,21.71,26.6,24.48,28.91,,
2025-05-19,19.48,17.97,21.78,26.69,24.51,29.13,,
2025-05-20,19.51,17.98,21.85,26.79,24.57,29.43,,
2025-05-21,19.55,18.0,21.92,26.88,24.58,29.73,,
2025-05-22,19.58,18.0,21.99,26.97,24.59,30.02,,
2025-05-23,19.61,18.02,22.06,27.07,24.62,30.3,,
2025-05-24,19.65,18.03,22.13,27.16,24.63,30.53,,
2025-05-25,19.69,18.04,22.2,27.26,24.64,30.82,,
2025-05-26,19.72,18.05,22.28,27.35,24.7,31.12,,
2025-05-27,19.77,18.05,22.35,27.44,24.84,31.4,,
2025-05-28,19.81,18.05,22.43,27.53,24.91,31.7,,
2025-05-29,19.85,18.06,22.5,27.62,24.92,31.95,,
2025-05-30,19.9,18.06,22.58,27.71,24.92,32.16,,
2025-05-31,19.95,18.09,22.66,27.8,24.93,32.33,,
2025-06-01,20.0,18.1,22.73,27.89,24.94,32.51,,
2025-06-02,20.06,18.13,22.81,27.98,24.96,32.67,,
2025-06-03,20.12,18.17,22.89,28.07,24.76,32.82,,
2025-06-04,20.18,18.2,22.96,28.16,24.82,32.98,,
2025-06-05,20.24,18.22,23.04,28.26,24.88,33.13,,
2025-06-06,20.31,18.25,23.12,28.36,24.97,33.29,,
2025-06-07,20.39,18.27,23.21,28.45,25.07,33.44,,
2025-06-08,20.46,18.3,23.35,28.55,25.06,33.58,,
2025-06-09,20.54,18.34,23.48,28.66,25.05,33.72,,
2025-06-10,20.61,18.37,23.61,28.76,25.23,33.86,,
2025-06-11,20.7,18.39,23.74,28.87,25.22,33.95,,
2025-06-12,20.78,18.42,23.86,28.98,25.21,34.03,,
2025-06-13,20.86,18.44,23.98,29.09,25.25,34.1,20.0,24.0
2025-06-14,20.95,18.45,24.08,29.2,25.3,34.16,,
2025-06-15,21.03,18.53,24.13,29.31,25.28,34.3,,
2025-06-16,21.12,18.62,24.15,29.42,25.26,34.41,,
2025-06-17,21.21,18.71,24.18,29.54,25.2,34.55,,
2025-06-18,21.29,18.73,24.24,29.65,25.22,34.69,,
2025-06-19,21.38,18.7,24.37,29.76,25.19,34.81,,
2025-06-20,21.47,18.89,24.47,29.88,25.16,34.92,,
2025-06-21,21.56,18.99,24.36,29.99,25.13,35.02,,
2025-06-22,21.64,19.03,24.41,30.1,25.1,35.12,,
2025-06-23,21.73,19.01,24.45,30.21,25.06,35.2,,
2025-06-24,21.81,19.01,24.55,30.32,25.03,35.28,,
2025-06-25,21.9,18.99,24.56,30.43,24.99,35.36,,
2025-06-26,21.98,18.98,24.64,30.53,24.96,35.49,,
2025-06-27,22.06,18.97,24.74,30.64,24.92,35.63,,
2025-06-28,22.13,18.97,24.78,30.74,24.91,35.75,,
2025-06-29,22.21,19.0,24.8,30.84,24.9,35.86,,
2025-06-30,22.28,19.03,24.83,30.94,24.86,35.93,,
2025-07-01,22.35,19.02,24.91,31.04,24.81,36.01,,
2025-07-02,22.42,18.99,25.01,31.14,24.76,36.11,,
2025-07-03,22.48,19.02,25.07,31.23,24.79,36.17,,
2025-07-04,22.54,19.04,25.1,31.33,24.9,36.25,,
2025-07-05,22.6,19.01,25.1,31.42,24.92,36.35,,
2025-07-06,22.65,18.98,25.14,31.5,24.93,36.46,,
2025-07-07,22.69,18.96,25.18,31.58,25.03,36.45,,
2025-07-08,22.73,19.02,25.25,31.66,25.09,36.44,,
2025-07-09,22.77,19.15,25.3,31.73,25.1,36.58,,
2025-07-10,22.8,19.27,25.52,31.79,25.0,36.63,,
2025-07-11,22.82,19.24,25.57,31.84,24.89,36.67,,
