date,Positive (pre-Labour leader),Positive (pre-Labour leader) (low),Positive (pre-Labour leader) (high),Positive (post-Labour leader),Positive (post-Labour leader) (low),Positive (post-Labour leader) (high),Negative (pre-Labour leader),Negative (pre-Labour leader) (low),Negative (pre-Labour leader) (high),Negative (post-Labour leader),Negative (post-Labour leader) (low),Negative (post-Labour leader) (high),Positive (poll),Negative (poll)
2026-05-22,25.18,23.0,25.86,,,,23.89,23.25,27.0,,,,26.0,23.0
2026-05-23,25.1,23.0,25.84,,,,24.01,23.27,27.12,,,,,
2026-05-24,25.02,23.0,25.8,,,,24.13,23.3,27.23,,,,,
2026-05-25,24.94,23.0,25.77,,,,24.24,23.32,27.32,,,,,
2026-05-26,24.86,23.0,25.74,,,,24.36,23.34,27.41,,,,,
2026-05-27,24.79,23.0,25.7,,,,24.47,23.37,27.49,,,,,
2026-05-28,24.73,23.0,25.66,,,,24.58,23.39,27.56,,,,,
2026-05-29,24.66,23.0,25.63,,,,24.68,23.41,27.62,,,,,
2026-05-30,24.6,23.0,25.59,,,,24.78,23.43,27.68,,,,,
2026-05-31,24.55,23.0,25.55,,,,24.88,23.45,27.73,,,,,
2026-06-01,24.5,23.0,25.51,,,,24.97,23.47,27.78,,,,,
2026-06-02,24.45,23.0,25.48,,,,25.06,23.49,27.82,,,,,
2026-06-03,24.4,23.0,25.44,,,,25.14,23.51,27.86,,,,,
2026-06-04,24.35,23.0,25.4,,,,25.22,23.53,27.9,,,,,
2026-06-05,24.31,23.0,25.37,,,,25.3,23.55,27.93,,,,,
2026-06-06,24.27,23.0,25.33,,,,25.37,23.56,27.97,,,,,
2026-06-07,24.23,23.0,25.3,,,,25.44,23.58,28.0,,,,,
2026-06-08,24.2,23.0,25.26,,,,25.51,23.6,28.02,,,,,
2026-06-09,24.16,23.0,25.23,,,,25.57,23.62,28.05,,,,,
2026-06-10,24.13,23.0,25.19,,,,25.63,23.63,28.07,,,,,
2026-06-11,24.09,23.0,25.16,,,,25.7,23.65,28.1,,,,,
2026-06-12,24.06,23.0,25.12,,,,25.76,23.67,28.12,,,,,
2026-06-13,24.03,23.0,25.09,,,,25.81,23.68,28.14,,,,,
2026-06-14,24.0,23.0,25.05,,,,25.87,23.7,28.15,,,,,
2026-06-15,23.97,23.0,25.02,,,,25.93,23.72,28.17,,,,,
2026-06-16,23.94,23.0,24.98,,,,25.98,23.74,28.19,,,,,
2026-06-17,23.91,23.0,24.95,,,,26.04,23.76,28.2,,,,,
2026-06-18,23.88,23.0,24.91,,,,26.09,23.78,28.22,,,,,
2026-06-19,23.85,23.0,24.87,,,,26.14,23.8,28.23,,,,,
2026-06-20,23.82,23.0,24.83,,,,26.2,23.82,28.24,,,,,
2026-06-21,23.79,23.0,24.79,,,,26.25,23.84,28.25,,,,,
2026-06-22,23.76,23.0,24.75,,,,26.31,23.87,28.26,,,,,
2026-06-23,23.72,23.0,24.7,,,,26.36,23.89,28.27,,,,,
2026-06-24,23.69,23.0,24.65,,,,26.42,23.92,28.36,,,,,
2026-06-25,23.66,23.0,24.6,,,,26.47,23.95,28.44,,,,,
2026-06-26,23.62,23.0,24.55,,,,26.53,23.98,28.52,,,,,
2026-06-27,23.59,23.0,24.5,,,,26.59,24.02,28.61,,,,,
2026-06-28,23.56,23.0,24.44,,,,26.64,24.05,28.69,,,,,
2026-06-29,23.52,23.0,24.37,,,,26.7,24.09,28.78,,,,,
2026-06-30,23.48,23.0,24.31,,,,26.76,24.13,28.87,,,,,
2026-07-01,23.45,23.0,24.24,,,,26.82,24.18,28.95,,,,,
2026-07-02,23.41,23.0,24.17,,,,26.88,24.23,29.04,,,,,
2026-07-03,23.37,23.0,24.09,,,,26.93,24.28,29.13,,,,23.0,25.0
