date,Positive (pre-Labour leader),Positive (pre-Labour leader) (low),Positive (pre-Labour leader) (high),Positive (post-Labour leader),Positive (post-Labour leader) (low),Positive (post-Labour leader) (high),Negative (pre-Labour leader),Negative (pre-Labour leader) (low),Negative (pre-Labour leader) (high),Negative (post-Labour leader),Negative (post-Labour leader) (low),Negative (post-Labour leader) (high),Positive (poll),Negative (poll)
2026-05-22,30.62,29.8,31.48,,,,27.8,26.07,29.0,,,,31.0,29.0
2026-05-23,30.62,29.81,31.49,,,,27.78,26.08,29.0,,,,,
2026-05-24,30.62,29.82,31.5,,,,27.77,26.1,29.0,,,,,
2026-05-25,30.62,29.83,31.52,,,,27.76,26.11,29.0,,,,,
2026-05-26,30.62,29.83,31.53,,,,27.74,26.12,29.0,,,,,
2026-05-27,30.62,29.81,31.54,,,,27.73,26.13,29.0,,,,,
2026-05-28,30.62,29.8,31.55,,,,27.72,26.15,29.0,,,,,
2026-05-29,30.62,29.79,31.56,,,,27.71,26.16,29.0,,,,,
2026-05-30,30.62,29.78,31.57,,,,27.71,26.17,29.0,,,,,
2026-05-31,30.62,29.76,31.57,,,,27.7,26.18,29.0,,,,,
2026-06-01,30.62,29.75,31.58,,,,27.69,26.19,29.0,,,,,
2026-06-02,30.62,29.75,31.59,,,,27.68,26.19,29.0,,,,,
2026-06-03,30.62,29.74,31.6,,,,27.68,26.2,29.0,,,,,
2026-06-04,30.62,29.73,31.6,,,,27.67,26.21,29.0,,,,,
2026-06-05,30.63,29.72,31.61,,,,27.67,26.22,29.0,,,,,
2026-06-06,30.63,29.71,31.62,,,,27.66,26.23,29.0,,,,,
2026-06-07,30.63,29.7,31.62,,,,27.66,26.23,29.0,,,,,
2026-06-08,30.63,29.7,31.63,,,,27.65,26.24,29.0,,,,,
2026-06-09,30.63,29.69,31.63,,,,27.65,26.25,29.0,,,,,
2026-06-10,30.63,29.68,31.64,,,,27.64,26.25,29.0,,,,,
2026-06-11,30.63,29.67,31.64,,,,27.64,26.26,29.0,,,,,
2026-06-12,30.63,29.67,31.65,,,,27.63,26.27,29.0,,,,,
2026-06-13,30.63,29.66,31.65,,,,27.63,26.27,29.0,,,,,
2026-06-14,30.63,29.65,31.66,,,,27.62,26.28,29.0,,,,,
2026-06-15,30.64,29.65,31.66,,,,27.62,26.28,29.0,,,,,
2026-06-16,30.64,29.64,31.67,,,,27.61,26.28,29.0,,,,,
2026-06-17,30.64,29.63,31.67,,,,27.61,26.26,29.0,,,,,
2026-06-18,30.64,29.62,31.68,,,,27.6,26.25,29.0,,,,,
2026-06-19,30.64,29.62,31.68,,,,27.6,26.23,29.0,,,,,
2026-06-20,30.64,29.61,31.69,,,,27.59,26.22,29.0,,,,,
2026-06-21,30.64,29.6,31.69,,,,27.59,26.2,29.0,,,,,
2026-06-22,30.64,29.59,31.7,,,,27.58,26.19,29.0,,,,,
2026-06-23,30.63,29.58,31.7,,,,27.57,26.17,29.0,,,,,
2026-06-24,30.63,29.58,31.71,,,,27.57,26.15,29.0,,,,,
2026-06-25,30.63,29.57,31.71,,,,27.56,26.13,29.0,,,,,
2026-06-26,30.63,29.56,31.72,,,,27.55,26.11,29.0,,,,,
2026-06-27,30.63,29.55,31.72,,,,27.54,26.09,29.0,,,,,
2026-06-28,30.63,29.54,31.73,,,,27.53,26.07,29.0,,,,,
2026-06-29,30.63,29.53,31.74,,,,27.52,26.05,29.0,,,,,
2026-06-30,30.63,29.51,31.74,,,,27.51,26.03,29.0,,,,,
2026-07-01,30.62,29.5,31.75,,,,27.5,26.0,29.0,,,,,
2026-07-02,30.62,29.49,31.75,,,,27.49,25.98,29.0,,,,,
2026-07-03,30.62,29.48,31.76,,,,27.48,25.95,29.0,,,,29.0,25.0
2026-07-04,30.62,29.46,31.77,,,,27.46,25.93,29.0,,,,,
2026-07-05,30.61,29.45,31.78,,,,27.45,25.9,29.0,,,,,
