date,Positive (pre-Labour leader),Positive (pre-Labour leader) (low),Positive (pre-Labour leader) (high),Positive (post-Labour leader),Positive (post-Labour leader) (low),Positive (post-Labour leader) (high),Negative (pre-Labour leader),Negative (pre-Labour leader) (low),Negative (pre-Labour leader) (high),Negative (post-Labour leader),Negative (post-Labour leader) (low),Negative (post-Labour leader) (high),Positive (poll),Negative (poll)
2026-05-22,24.48,23.48,26.19,,,,23.68,21.74,26.47,,,,23.0,21.0
2026-05-23,24.51,23.49,26.2,,,,23.73,21.78,26.46,,,,,
2026-05-24,24.55,23.5,26.2,,,,23.78,21.81,26.45,,,,,
2026-05-25,24.58,23.51,26.21,,,,23.82,21.84,26.44,,,,,
2026-05-26,24.61,23.53,26.22,,,,23.86,21.87,26.44,,,,,
2026-05-27,24.64,23.54,26.23,,,,23.9,21.9,26.43,,,,,
2026-05-28,24.66,23.55,26.23,,,,23.94,21.93,26.43,,,,,
2026-05-29,24.69,23.56,26.24,,,,23.97,21.95,26.42,,,,,
2026-05-30,24.71,23.57,26.24,,,,24.01,21.98,26.42,,,,,
2026-05-31,24.74,23.58,26.25,,,,24.04,22.01,26.41,,,,,
2026-06-01,24.76,23.58,26.26,,,,24.07,22.03,26.41,,,,,
2026-06-02,24.78,23.59,26.26,,,,24.1,22.06,26.4,,,,,
2026-06-03,24.8,23.6,26.27,,,,24.12,22.08,26.4,,,,,
2026-06-04,24.82,23.61,26.27,,,,24.15,22.1,26.39,,,,,
2026-06-05,24.84,23.62,26.27,,,,24.17,22.12,26.39,,,,,
2026-06-06,24.85,23.62,26.28,,,,24.19,22.15,26.39,,,,,
2026-06-07,24.87,23.63,26.28,,,,24.22,22.17,26.38,,,,,
2026-06-08,24.89,23.64,26.29,,,,24.24,22.19,26.38,,,,,
2026-06-09,24.9,23.65,26.29,,,,24.26,22.21,26.38,,,,,
2026-06-10,24.92,23.65,26.29,,,,24.28,22.23,26.37,,,,,
2026-06-11,24.93,23.66,26.3,,,,24.3,22.25,26.37,,,,,
2026-06-12,24.95,23.67,26.3,,,,24.32,22.27,26.37,,,,,
2026-06-13,24.96,23.67,26.3,,,,24.34,22.29,26.36,,,,,
2026-06-14,24.98,23.68,26.3,,,,24.35,22.3,26.36,,,,,
2026-06-15,24.99,23.69,26.31,,,,24.37,22.32,26.36,,,,,
2026-06-16,25.01,23.7,26.31,,,,24.39,22.34,26.36,,,,,
2026-06-17,25.02,23.7,26.31,,,,24.41,22.36,26.35,,,,,
2026-06-18,25.04,23.71,26.31,,,,24.43,22.38,26.35,,,,,
2026-06-19,25.05,23.72,26.32,,,,24.45,22.4,26.35,,,,,
2026-06-20,25.06,23.73,26.32,,,,24.47,22.42,26.35,,,,,
2026-06-21,25.08,23.74,26.32,,,,24.49,22.44,26.35,,,,,
2026-06-22,25.09,23.75,26.32,,,,24.51,22.47,26.35,,,,,
2026-06-23,25.11,23.75,26.32,,,,24.54,22.49,26.34,,,,,
2026-06-24,25.12,23.76,26.32,,,,24.56,22.51,26.34,,,,,
2026-06-25,25.14,23.78,26.33,,,,24.58,22.54,26.34,,,,,
2026-06-26,25.16,23.79,26.33,,,,24.61,22.56,26.34,,,,,
