date,Con (pre-2024 election),Con (pre-2024 election) (low),Con (pre-2024 election) (high),Con (post-2024 election),Con (post-2024 election) (low),Con (post-2024 election) (high),Lab (pre-2024 election),Lab (pre-2024 election) (low),Lab (pre-2024 election) (high),Lab (post-2024 election),Lab (post-2024 election) (low),Lab (post-2024 election) (high),LDem (pre-2024 election),LDem (pre-2024 election) (low),LDem (pre-2024 election) (high),LDem (post-2024 election),LDem (post-2024 election) (low),LDem (post-2024 election) (high),Ukip (pre-2024 election),Ukip (pre-2024 election) (low),Ukip (pre-2024 election) (high),Ukip (post-2024 election),Ukip (post-2024 election) (low),Ukip (post-2024 election) (high),Grn (post-2024 election),Grn (post-2024 election) (low),Grn (post-2024 election) (high),Reform (post-2024 election),Reform (post-2024 election) (low),Reform (post-2024 election) (high),Con (poll),Lab (poll),LDem (poll),Ukip (poll),Grn (poll),Reform (poll)
2019-08-11,32.98,29.54,37.19,,,,14.68,11.37,18.68,,,,6.06,3.04,9.47,,,,2.0,-0.95,4.75,,,,,,,,,,33.0,16.0,8.0,3.0,,
2019-08-12,33.0,29.56,37.21,,,,14.69,11.38,18.69,,,,6.05,3.03,9.45,,,,2.0,-0.95,4.75,,,,,,,,,,,,,,,
2019-08-13,33.01,29.58,37.23,,,,14.7,11.4,18.68,,,,6.03,3.01,9.44,,,,1.99,-0.94,4.75,,,,,,,,,,,,,,,
2019-08-14,33.03,29.6,37.25,,,,14.71,11.41,18.66,,,,6.02,3.0,9.42,,,,1.99,-0.94,4.73,,,,,,,,,,,,,,,
2019-08-15,33.05,29.62,37.28,,,,14.71,11.43,18.64,,,,6.01,2.99,9.41,,,,1.98,-0.93,4.72,,,,,,,,,,,,,,,
2019-08-16,33.07,29.64,37.27,,,,14.72,11.45,18.63,,,,6.0,2.99,9.39,,,,1.98,-0.93,4.71,,,,,,,,,,,,,,,
2019-08-17,33.09,29.66,37.25,,,,14.73,11.45,18.61,,,,5.99,2.99,9.38,,,,1.98,-0.93,4.69,,,,,,,,,,,,,,,
2019-08-18,33.1,29.68,37.24,,,,14.74,11.46,18.59,,,,5.98,3.0,9.36,,,,1.97,-0.92,4.69,,,,,,,,,,,,,,,
2019-08-19,33.12,29.71,37.22,,,,14.75,11.47,18.58,,,,5.97,3.03,9.35,,,,1.97,-0.92,4.69,,,,,,,,,,,,,,,
2019-08-20,33.14,29.73,37.2,,,,14.75,11.48,18.56,,,,5.96,3.04,9.33,,,,1.97,-0.92,4.69,,,,,,,,,,,,,,,
2019-08-21,33.16,29.74,37.21,,,,14.76,11.48,18.54,,,,5.94,3.03,9.32,,,,1.96,-0.91,4.69,,,,,,,,,,,,,,,
2019-08-22,33.17,29.76,37.22,,,,14.77,11.49,18.52,,,,5.93,3.02,9.31,,,,1.96,-0.9,4.7,,,,,,,,,,,,,,,
2019-08-23,33.19,29.78,37.23,,,,14.78,11.53,18.51,,,,5.92,3.01,9.29,,,,1.96,-0.89,4.7,,,,,,,,,,,,,,,
2019-08-24,33.21,29.8,37.24,,,,14.78,11.56,18.49,,,,5.91,3.01,9.28,,,,1.95,-0.88,4.7,,,,,,,,,,,,,,,
2019-08-25,33.23,29.82,37.25,,,,14.79,11.58,18.47,,,,5.9,3.0,9.27,,,,1.95,-0.87,4.66,,,,,,,,,,,,,,,
2019-08-26,33.24,29.84,37.25,,,,14.8,11.59,18.45,,,,5.89,2.99,9.26,,,,1.94,-0.86,4.59,,,,,,,,,,,,,,,
2019-08-27,33.26,29.85,37.25,,,,14.8,11.6,18.42,,,,5.88,2.99,9.24,,,,1.94,-0.86,4.58,,,,,,,,,,,,,,,
2019-08-28,33.28,29.87,37.24,,,,14.81,11.61,18.35,,,,5.87,2.98,9.23,,,,1.94,-0.85,4.58,,,,,,,,,,,,,,,
2019-08-29,33.3,29.9,37.24,,,,14.82,11.62,18.34,,,,5.85,2.97,9.22,,,,1.93,-0.85,4.56,,,,,,,,,,,,,,,
2019-08-30,33.32,29.93,37.24,,,,14.82,11.63,18.32,,,,5.84,2.96,9.21,,,,1.93,-0.84,4.56,,,,,,,,,,,,,,,
2019-08-31,33.33,29.95,37.23,,,,14.83,11.65,18.3,,,,5.83,2.95,9.19,,,,1.93,-0.84,4.55,,,,,,,,,,,,,,,
2019-09-01,33.35,29.97,37.23,,,,14.84,11.66,18.28,,,,5.82,2.94,9.18,,,,1.92,-0.83,4.52,,,,,,,,,,,,,,,
2019-09-02,33.37,29.99,37.23,,,,14.84,11.68,18.27,,,,5.81,2.94,9.17,,,,1.92,-0.83,4.48,,,,,,,,,,,,,,,
2019-09-03,33.39,30.01,37.23,,,,14.85,11.69,18.25,,,,5.8,2.93,9.16,,,,1.92,-0.82,4.45,,,,,,,,,,,,,,,
2019-09-04,33.4,30.04,37.22,,,,14.85,11.7,18.23,,,,5.79,2.93,9.15,,,,1.91,-0.82,4.42,,,,,,,,,,,,,,,
