date,Con (pre-2024 election),Con (pre-2024 election) (low),Con (pre-2024 election) (high),Con (post-2024 election),Con (post-2024 election) (low),Con (post-2024 election) (high),Lab (pre-2024 election),Lab (pre-2024 election) (low),Lab (pre-2024 election) (high),Lab (post-2024 election),Lab (post-2024 election) (low),Lab (post-2024 election) (high),LDem (pre-2024 election),LDem (pre-2024 election) (low),LDem (pre-2024 election) (high),LDem (post-2024 election),LDem (post-2024 election) (low),LDem (post-2024 election) (high),Ukip (pre-2024 election),Ukip (pre-2024 election) (low),Ukip (pre-2024 election) (high),Ukip (post-2024 election),Ukip (post-2024 election) (low),Ukip (post-2024 election) (high),Grn (post-2024 election),Grn (post-2024 election) (low),Grn (post-2024 election) (high),SNP (post-2024 election),SNP (post-2024 election) (low),SNP (post-2024 election) (high),PC (post-2024 election),PC (post-2024 election) (low),PC (post-2024 election) (high),Reform (post-2024 election),Reform (post-2024 election) (low),Reform (post-2024 election) (high),Con (poll),Lab (poll),LDem (poll),Ukip (poll),Grn (poll),SNP (poll),PC (poll),Reform (poll)
2019-08-11,42.59,39.08,46.76,,,,13.18,9.9,16.48,,,,8.36,4.94,12.13,,,,2.0,-1.47,5.05,,,,,,,,,,,,,,,,40.0,12.0,12.0,2.0,,,,
2019-08-12,42.62,39.18,46.78,,,,13.18,9.9,16.49,,,,8.34,4.94,12.11,,,,2.0,-1.47,5.05,,,,,,,,,,,,,,,,,,,,,,,
2019-08-13,42.64,39.28,46.81,,,,13.18,9.9,16.5,,,,8.33,4.94,12.09,,,,2.0,-1.47,5.06,,,,,,,,,,,,,,,,,,,,,,,
2019-08-14,42.67,39.32,46.83,,,,13.19,9.9,16.51,,,,8.32,4.94,12.07,,,,2.0,-1.46,5.06,,,,,,,,,,,,,,,,,,,,,,,
2019-08-15,42.69,39.34,46.85,,,,13.19,9.9,16.52,,,,8.31,4.95,12.04,,,,2.0,-1.46,5.06,,,,,,,,,,,,,,,,,,,,,,,
2019-08-16,42.72,39.37,46.87,,,,13.19,9.9,16.53,,,,8.29,4.96,11.96,,,,2.0,-1.46,5.06,,,,,,,,,,,,,,,,,,,,,,,
2019-08-17,42.75,39.39,46.9,,,,13.19,9.89,16.54,,,,8.28,4.96,11.89,,,,2.0,-1.45,5.07,,,,,,,,,,,,,,,,,,,,,,,
2019-08-18,42.77,39.42,46.92,,,,13.2,9.89,16.55,,,,8.27,4.97,11.8,,,,2.0,-1.45,5.07,,,,,,,,,,,,,,,,,,,,,,,
2019-08-19,42.8,39.44,46.95,,,,13.2,9.9,16.56,,,,8.26,4.97,11.74,,,,2.0,-1.45,5.07,,,,,,,,,,,,,,,,,,,,,,,
2019-08-20,42.83,39.47,46.97,,,,13.2,9.93,16.55,,,,8.24,4.98,11.73,,,,2.0,-1.45,5.07,,,,,,,,,,,,,,,,,,,,,,,
2019-08-21,42.85,39.51,47.0,,,,13.2,9.94,16.56,,,,8.23,4.98,11.72,,,,2.0,-1.44,5.07,,,,,,,,,,,,,,,,,,,,,,,
2019-08-22,42.88,39.53,47.02,,,,13.2,9.94,16.57,,,,8.22,4.98,11.71,,,,2.0,-1.44,5.08,,,,,,,,,,,,,,,,,,,,,,,
2019-08-23,42.91,39.56,47.04,,,,13.2,9.94,16.58,,,,8.21,4.98,11.71,,,,2.0,-1.44,5.08,,,,,,,,,,,,,,,,,,,,,,,
2019-08-24,42.94,39.59,47.08,,,,13.2,9.93,16.58,,,,8.19,4.98,11.7,,,,2.0,-1.44,5.08,,,,,,,,,,,,,,,,,,,,,,,
2019-08-25,42.96,39.62,47.12,,,,13.2,9.93,16.59,,,,8.18,4.99,11.69,,,,2.0,-1.44,5.08,,,,,,,,,,,,,,,,,,,,,,,
2019-08-26,42.99,39.65,47.12,,,,13.2,9.94,16.59,,,,8.17,4.98,11.69,,,,2.0,-1.44,5.08,,,,,,,,,,,,,,,,,,,,,,,
2019-08-27,43.02,39.68,47.14,,,,13.2,9.95,16.59,,,,8.16,4.98,11.68,,,,2.0,-1.44,5.08,,,,,,,,,,,,,,,,,,,,,,,
2019-08-28,43.05,39.7,47.16,,,,13.2,9.96,16.56,,,,8.14,4.99,11.67,,,,2.0,-1.45,5.09,,,,,,,,,,,,,,,,,,,,,,,
2019-08-29,43.07,39.72,47.18,,,,13.2,9.97,16.43,,,,8.13,4.99,11.66,,,,2.0,-1.45,5.09,,,,,,,,,,,,,,,,,,,,,,,
2019-08-30,43.1,39.73,47.21,,,,13.2,9.99,16.3,,,,8.12,4.99,11.65,,,,2.0,-1.45,5.09,,,,,,,,,,,,,,,,,,,,,,,
2019-08-31,43.13,39.74,47.23,,,,13.2,10.0,16.19,,,,8.11,4.99,11.65,,,,2.0,-1.45,5.09,,,,,,,,,,,,,,,,,,,,,,,
2019-09-01,43.16,39.77,47.26,,,,13.2,10.01,16.18,,,,8.09,5.0,11.64,,,,2.0,-1.45,5.09,,,,,,,,,,,,,,,,,,,,,,,
2019-09-02,43.19,39.8,47.29,,,,13.2,10.02,16.17,,,,8.08,4.99,11.63,,,,2.0,-1.45,5.09,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03,43.22,39.85,47.32,,,,13.2,10.02,16.17,,,,8.07,4.98,11.62,,,,2.0,-1.45,5.1,,,,,,,,,,,,,,,,,,,,,,,
2019-09-04,43.24,39.87,47.34,,,,13.19,10.02,16.16,,,,8.06,4.97,11.61,,,,2.0,-1.45,5.1,,,,,,,,,,,,,,,,,,,,,,,
2019-09-05,43.27,39.89,47.37,,,,13.19,10.03,16.15,,,,8.04,4.97,11.6,,,,2.0,-1.45,5.1,,,,,,,,,,,,,,,,,,,,,,,
2019-09-06,43.3,39.93,47.39,,,,13.19,10.03,16.14,,,,8.03,4.96,11.58,,,,2.0,-1.45,5.1,,,,,,,,,,,,,,,,,,,,,,,
2019-09-07,43.33,39.98,47.41,,,,13.19,10.03,16.13,,,,8.02,4.95,11.57,,,,2.0,-1.45,5.1,,,,,,,,,,,,,,,,,,,,,,,
2019-09-08,43.36,40.03,47.44,,,,13.19,10.03,16.12,,,,8.01,4.94,11.56,,,,2.0,-1.45,5.1,,,,,,,,,,,,,,,,,,,,,,,
2019-09-09,43.39,40.07,47.46,,,,13.18,10.03,16.11,,,,7.99,4.94,11.55,,,,2.0,-1.45,5.1,,,,,,,,,,,,,,,,40.0,10.0,8.0,2.0,,,,
2019-09-10,43.42,40.1,47.48,,,,13.18,10.03,16.09,,,,7.98,4.93,11.54,,,,2.0,-1.45,5.1,,,,,,,,,,,,,,,,,,,,,,,
2019-09-11,43.44,40.13,47.51,,,,13.18,10.02,16.08,,,,7.97,4.92,11.53,,,,2.0,-1.45,5.11,,,,,,,,,,,,,,,,,,,,,,,
2019-09-12,43.47,40.16,47.54,,,,13.18,10.02,16.08,,,,7.96,4.91,11.52,,,,2.0,-1.45,5.11,,,,,,,,,,,,,,,,,,,,,,,
2019-09-13,43.5,40.19,47.6,,,,13.18,10.02,16.08,,,,7.94,4.91,11.51,,,,2.0,-1.45,5.11,,,,,,,,,,,,,,,,,,,,,,,
2019-09-14,43.53,40.21,47.65,,,,13.17,10.02,16.08,,,,7.93,4.9,11.5,,,,2.0,-1.45,5.11,,,,,,,,,,,,,,,,,,,,,,,
2019-09-15,43.56,40.23,47.65,,,,13.17,10.02,16.07,,,,7.92,4.89,11.49,,,,2.0,-1.45,5.11,,,,,,,,,,,,,,,,,,,,,,,
2019-09-16,43.59,40.25,47.67,,,,13.17,10.02,16.06,,,,7.91,4.88,11.48,,,,2.0,-1.45,5.11,,,,,,,,,,,,,,,,,,,,,,,
2019-09-17,43.62,40.27,47.67,,,,13.16,10.02,16.05,,,,7.89,4.86,11.46,,,,2.0,-1.45,5.11,,,,,,,,,,,,,,,,,,,,,,,
2019-09-18,43.65,40.25,47.68,,,,13.16,10.02,16.05,,,,7.88,4.84,11.45,,,,2.0,-1.45,5.11,,,,,,,,,,,,,,,,,,,,,,,
2019-09-19,43.68,40.25,47.69,,,,13.16,10.03,16.04,,,,7.87,4.82,11.42,,,,2.0,-1.45,5.11,,,,,,,,,,,,,,,,,,,,,,,
2019-09-20,43.71,40.24,47.71,,,,13.16,10.04,16.0,,,,7.86,4.8,11.38,,,,2.0,-1.45,5.1,,,,,,,,,,,,,,,,,,,,,,,
2019-09-21,43.74,40.26,47.73,,,,13.15,10.05,15.97,,,,7.85,4.79,11.33,,,,2.0,-1.45,5.1,,,,,,,,,,,,,,,,,,,,,,,
2019-09-22,43.77,40.31,47.75,,,,13.15,10.06,15.96,,,,7.83,4.77,11.29,,,,2.0,-1.45,5.1,,,,,,,,,,,,,,,,,,,,,,,
2019-09-23,43.79,40.37,47.77,,,,13.15,10.07,15.95,,,,7.82,4.75,11.25,,,,2.0,-1.45,5.1,,,,,,,,,,,,,,,,,,,,,,,
2019-09-24,43.82,40.42,47.8,,,,13.15,10.08,15.94,,,,7.81,4.73,11.24,,,,2.0,-1.46,5.1,,,,,,,,,,,,,,,,,,,,,,,
2019-09-25,43.85,40.44,47.82,,,,13.14,10.09,15.93,,,,7.8,4.71,11.23,,,,2.0,-1.46,5.1,,,,,,,,,,,,,,,,,,,,,,,
2019-09-26,43.88,40.46,47.84,,,,13.14,10.1,15.92,,,,7.79,4.7,11.23,,,,2.0,-1.46,5.1,,,,,,,,,,,,,,,,,,,,,,,
2019-09-27,43.91,40.49,47.86,,,,13.14,10.11,15.91,,,,7.77,4.69,11.23,,,,2.0,-1.46,5.1,,,,,,,,,,,,,,,,,,,,,,,
2019-09-28,43.94,40.51,47.88,,,,13.13,10.11,15.91,,,,7.76,4.69,11.23,,,,2.0,-1.46,5.1,,,,,,,,,,,,,,,,,,,,,,,
2019-09-29,43.97,40.53,47.9,,,,13.13,10.12,15.9,,,,7.75,4.69,11.23,,,,2.0,-1.46,5.1,,,,,,,,,,,,,,,,,,,,,,,
2019-09-30,44.0,40.55,47.92,,,,13.13,10.13,15.89,,,,7.74,4.69,11.23,,,,2.0,-1.46,5.1,,,,,,,,,,,,,,,,,,,,,,,
2019-10-01,44.03,40.57,47.94,,,,13.13,10.14,15.89,,,,7.73,4.69,11.21,,,,2.0,-1.46,5.1,,,,,,,,,,,,,,,,,,,,,,,
2019-10-02,44.06,40.6,47.96,,,,13.12,10.15,15.88,,,,7.71,4.68,11.2,,,,2.0,-1.46,5.1,,,,,,,,,,,,,,,,,,,,,,,
2019-10-03,44.09,40.62,47.98,,,,13.12,10.16,15.87,,,,7.7,4.68,11.18,,,,2.0,-1.46,5.09,,,,,,,,,,,,,,,,,,,,,,,
2019-10-04,44.11,40.64,48.0,,,,13.12,10.17,15.87,,,,7.69,4.67,11.16,,,,2.0,-1.46,5.09,,,,,,,,,,,,,,,,,,,,,,,
2019-10-05,44.14,40.67,48.01,,,,13.12,10.18,15.86,,,,7.68,4.67,11.14,,,,2.0,-1.46,5.09,,,,,,,,,,,,,,,,,,,,,,,
2019-10-06,44.17,40.69,48.03,,,,13.11,10.19,15.86,,,,7.67,4.67,11.12,,,,2.0,-1.46,5.09,,,,,,,,,,,,,,,,40.0,14.0,7.0,2.0,,,,
2019-10-07,44.2,40.71,48.05,,,,13.11,10.21,15.85,,,,7.66,4.66,11.1,,,,2.0,-1.46,5.09,,,,,,,,,,,,,,,,,,,,,,,
2019-10-08,44.23,40.73,48.07,,,,13.11,10.22,15.86,,,,7.65,4.66,11.07,,,,2.0,-1.46,5.09,,,,,,,,,,,,,,,,,,,,,,,
2019-10-09,44.26,40.73,48.09,,,,13.11,10.23,15.86,,,,7.63,4.66,11.03,,,,2.0,-1.46,5.09,,,,,,,,,,,,,,,,,,,,,,,
2019-10-10,44.29,40.74,48.11,,,,13.11,10.25,15.87,,,,7.62,4.66,10.99,,,,2.0,-1.46,5.09,,,,,,,,,,,,,,,,,,,,,,,
2019-10-11,44.32,40.75,48.12,,,,13.1,10.25,15.88,,,,7.61,4.66,10.94,,,,2.0,-1.46,5.09,,,,,,,,,,,,,,,,,,,,,,,
2019-10-12,44.35,40.78,48.14,,,,13.1,10.25,15.88,,,,7.6,4.66,10.91,,,,2.0,-1.46,5.08,,,,,,,,,,,,,,,,,,,,,,,
2019-10-13,44.38,40.83,48.16,,,,13.1,10.24,15.89,,,,7.59,4.65,10.87,,,,2.0,-1.46,5.08,,,,,,,,,,,,,,,,,,,,,,,
2019-10-14,44.4,40.89,48.17,,,,13.1,10.24,15.9,,,,7.58,4.65,10.82,,,,2.0,-1.46,5.08,,,,,,,,,,,,,,,,,,,,,,,
2019-10-15,44.43,40.91,48.19,,,,13.1,10.24,15.9,,,,7.56,4.65,10.79,,,,2.0,-1.46,5.08,,,,,,,,,,,,,,,,,,,,,,,
2019-10-16,44.46,40.94,48.21,,,,13.1,10.24,15.9,,,,7.55,4.65,10.77,,,,2.0,-1.46,5.08,,,,,,,,,,,,,,,,,,,,,,,
2019-10-17,44.49,40.96,48.22,,,,13.1,10.25,15.91,,,,7.54,4.65,10.75,,,,2.0,-1.46,5.08,,,,,,,,,,,,,,,,,,,,,,,
