date,Con,Con (low),Con (high),Lab,Lab (low),Lab (high),LDem,LDem (low),LDem (high),Grn,Grn (low),Grn (high),PC,PC (low),PC (high),Reform,Reform (low),Reform (high),Con (19-24),Con (19-24) (low),Con (19-24) (high),Grn (19-24),Grn (19-24) (low),Grn (19-24) (high),LDem (19-24),LDem (19-24) (low),LDem (19-24) (high),Lab (19-24),Lab (19-24) (low),Lab (19-24) (high),PC (19-24),PC (19-24) (low),PC (19-24) (high),Reform (19-24),Reform (19-24) (low),Reform (19-24) (high),Ukip (19-24),Ukip (19-24) (low),Ukip (19-24) (high),Con (poll),Lab (poll),LDem (poll),Grn (poll),PC (poll),Reform (poll)
2019-12-12,,,,,,,,,,,,,,,,,,,38.75,37.09,41.0,1.55,1.25,2.0,5.45,5.0,5.78,38.25,36.0,39.91,11.65,10.65,13.0,3.9,3.0,4.57,,,,36.0,41.0,6.0,1.0,10.0,5.0
2019-12-13,,,,,,,,,,,,,,,,,,,38.8,37.12,41.0,1.56,1.25,2.0,5.44,5.0,5.78,38.2,36.0,39.88,11.68,10.67,13.0,3.88,3.0,4.55,,,,,,,,,
2019-12-14,,,,,,,,,,,,,,,,,,,38.84,37.16,41.0,1.57,1.26,2.0,5.43,5.0,5.77,38.16,36.0,39.84,11.7,10.69,13.0,3.86,3.0,4.54,,,,,,,,,
2019-12-15,,,,,,,,,,,,,,,,,,,38.88,37.19,41.0,1.58,1.27,2.0,5.42,5.0,5.76,38.12,36.0,39.81,11.73,10.71,13.0,3.85,3.0,4.52,,,,,,,,,
2019-12-16,,,,,,,,,,,,,,,,,,,38.92,37.22,41.0,1.58,1.27,2.0,5.42,5.0,5.76,38.08,36.0,39.78,11.75,10.73,13.0,3.83,3.0,4.51,,,,,,,,,
2019-12-17,,,,,,,,,,,,,,,,,,,38.95,37.26,41.0,1.59,1.28,2.0,5.41,5.0,5.75,38.05,36.0,39.74,11.77,10.75,13.0,3.82,3.0,4.5,,,,,,,,,
2019-12-18,,,,,,,,,,,,,,,,,,,38.98,37.29,41.0,1.6,1.28,2.0,5.4,5.0,5.74,38.02,36.0,39.71,11.79,10.77,13.0,3.81,3.0,4.49,,,,,,,,,
2019-12-19,,,,,,,,,,,,,,,,,,,39.01,37.31,41.0,1.6,1.29,2.0,5.4,5.0,5.74,37.99,36.0,39.69,11.81,10.79,13.0,3.79,3.0,4.47,,,,,,,,,
2019-12-20,,,,,,,,,,,,,,,,,,,39.04,37.34,41.0,1.61,1.29,2.0,5.39,5.0,5.73,37.96,36.0,39.66,11.83,10.81,13.0,3.78,3.0,4.46,,,,,,,,,
2019-12-21,,,,,,,,,,,,,,,,,,,39.07,37.37,41.0,1.61,1.3,2.0,5.39,5.0,5.73,37.93,36.0,39.63,11.84,10.82,13.0,3.77,3.0,4.45,,,,,,,,,
2019-12-22,,,,,,,,,,,,,,,,,,,39.1,37.39,41.0,1.62,1.3,2.0,5.38,5.0,5.72,37.9,36.0,39.61,11.86,10.84,13.0,3.76,3.0,4.44,,,,,,,,,
2019-12-23,,,,,,,,,,,,,,,,,,,39.12,37.42,41.0,1.62,1.3,2.0,5.38,5.0,5.72,37.88,36.0,39.58,11.87,10.85,13.0,3.75,3.0,4.43,,,,,,,,,
2019-12-24,,,,,,,,,,,,,,,,,,,39.15,37.44,41.0,1.63,1.31,2.0,5.37,5.0,5.71,37.85,36.0,39.56,11.89,10.87,13.0,3.74,3.0,4.42,,,,,,,,,
2019-12-25,,,,,,,,,,,,,,,,,,,39.17,37.47,41.0,1.63,1.31,2.0,5.37,5.0,5.71,37.83,36.0,39.53,11.9,10.88,13.0,3.73,3.0,4.41,,,,,,,,,
2019-12-26,,,,,,,,,,,,,,,,,,,39.19,37.49,41.0,1.64,1.31,2.0,5.36,5.0,5.7,37.81,36.0,39.51,11.91,10.89,13.0,3.72,3.0,4.4,,,,,,,,,
2019-12-27,,,,,,,,,,,,,,,,,,,39.21,37.51,41.0,1.64,1.32,2.0,5.36,5.0,5.7,37.79,36.0,39.49,11.93,10.91,13.0,3.72,3.0,4.4,,,,,,,,,
2019-12-28,,,,,,,,,,,,,,,,,,,39.23,37.53,41.0,1.65,1.32,2.0,5.35,5.0,5.69,37.77,36.0,39.47,11.94,10.92,13.0,3.71,3.0,4.39,,,,,,,,,
2019-12-29,,,,,,,,,,,,,,,,,,,39.25,37.55,41.0,1.65,1.32,2.0,5.35,5.0,5.69,37.75,36.0,39.45,11.95,10.93,13.0,3.7,3.0,4.38,,,,,,,,,
2019-12-30,,,,,,,,,,,,,,,,,,,39.27,37.58,41.0,1.65,1.33,2.0,5.35,5.0,5.68,37.73,36.0,39.42,11.96,10.95,13.0,3.69,3.0,4.37,,,,,,,,,
2019-12-31,,,,,,,,,,,,,,,,,,,39.29,37.6,41.0,1.66,1.33,2.0,5.34,5.0,5.68,37.71,36.0,39.4,11.97,10.96,13.0,3.68,3.0,4.36,,,,,,,,,
2020-01-01,,,,,,,,,,,,,,,,,,,39.31,37.62,41.0,1.66,1.33,2.0,5.34,5.0,5.68,37.69,36.0,39.38,11.98,10.97,13.0,3.68,3.0,4.35,,,,,,,,,
2020-01-02,,,,,,,,,,,,,,,,,,,39.33,37.64,41.0,1.67,1.34,2.0,5.33,5.0,5.67,37.67,36.0,39.36,12.0,10.98,13.0,3.67,3.0,4.35,,,,,,,,,
2020-01-03,,,,,,,,,,,,,,,,,,,39.34,37.66,41.0,1.67,1.34,2.0,5.33,5.0,5.67,37.66,36.0,39.34,12.01,10.99,13.0,3.66,3.0,4.34,,,,,,,,,
2020-01-04,,,,,,,,,,,,,,,,,,,39.36,37.68,41.0,1.67,1.34,2.0,5.33,5.0,5.66,37.64,36.0,39.32,12.02,11.01,13.0,3.66,3.0,4.33,,,,,,,,,
2020-01-05,,,,,,,,,,,,,,,,,,,39.38,37.7,41.0,1.68,1.35,2.0,5.32,5.0,5.66,37.62,36.0,39.3,12.03,11.02,13.0,3.65,3.0,4.32,,,,,,,,,
2020-01-06,,,,,,,,,,,,,,,,,,,39.4,37.72,41.0,1.68,1.35,2.0,5.32,5.0,5.66,37.6,36.0,39.28,12.04,11.03,13.0,3.64,3.0,4.31,,,,,,,,,
2020-01-07,,,,,,,,,,,,,,,,,,,39.42,37.74,41.0,1.68,1.35,2.0,5.32,5.0,5.65,37.58,36.0,39.26,12.05,11.04,13.0,3.63,3.0,4.3,,,,,,,,,
2020-01-08,,,,,,,,,,,,,,,,,,,39.44,37.76,41.0,1.69,1.36,2.0,5.31,5.0,5.65,37.56,36.0,39.24,12.06,11.06,13.0,3.63,3.0,4.3,,,,,,,,,
2020-01-09,,,,,,,,,,,,,,,,,,,39.46,37.78,41.0,1.69,1.36,2.0,5.31,5.0,5.64,37.54,36.0,39.22,12.07,11.07,13.0,3.62,3.0,4.29,,,,,,,,,
